Medicine Name,Manufacturer,Category,Price,Expiry Date
Paracetamol 500mg,Cipla,Painkiller,25.50,2026-12-15
Ibuprofen 400mg,Sun Pharma,Painkiller,45.00,2026-08-20
Amoxicillin 250mg,Dr Reddy's,Antibiotic,120.00,2026-10-10
Cetirizine 10mg,Alkem,Antihistamine,18.00,2026-07-25
Azithromycin 500mg,Cipla,Antibiotic,180.00,2026-11-30
Omeprazole 20mg,Sun Pharma,Antacid,55.00,2026-09-15
Metformin 500mg,Lupin,Diabetes,35.00,2026-06-18
Aspirin 75mg,Bayer,Blood Thinner,22.00,2027-01-10
Vitamin C 500mg,HealthKart,Vitamin C,85.00,2027-03-22
Cough Syrup 100ml,Dabur,Cough Syrup,95.00,2026-03-15
Dolo 650mg,Micro Labs,Painkiller,30.00,2026-05-08
Crocin Advance,GSK,Painkiller,28.00,2026-04-12
Combiflam,Sanofi,Painkiller,42.00,2026-06-20
Sinarest,Centaur,Cold Relief,38.00,2026-03-25
Vicks VapoRub,P&G,Cold Relief,125.00,2027-02-10
